
tomo_id,z
aba2014-02-21-14,18.0
mba2011-02-16-103,62.0
mba2011-02-16-106,66.0
mba2011-02-16-108,42.0
mba2011-02-16-111,56.0
mba2011-02-16-115,70.0
mba2011-02-16-116,68.0
mba2011-02-16-11,66.0
mba2011-02-16-122,42.0
mba2011-02-16-123,62.0
mba2011-02-16-129,64.0
mba2011-02-16-12,60.0
mba2011-02-16-133,59.0
mba2011-02-16-139,60.0
mba2011-02-16-141,66.0
mba2011-02-16-143,57.0
mba2011-02-16-145,48.0
mba2011-02-16-145,51.0
mba2011-02-16-147,51.0
mba2011-02-16-150,62.0
mba2011-02-16-153,55.0
mba2011-02-16-153,63.0
mba2011-02-16-155,33.0
mba2011-02-16-157,60.0
mba2011-02-16-15,56.0
mba2011-02-16-15,50.0
mba2011-02-16-160,60.0
mba2011-02-16-160,51.0
mba2011-02-16-162,62.0
mba2011-02-16-170,62.0
mba2011-02-16-173,52.0
mba2011-02-16-176,59.0
mba2011-02-16-17,68.0
mba2011-02-16-19,70.0
mba2011-02-16-1,66.0
mba2011-02-16-1,46.0
mba2011-02-16-20,65.0
mba2011-02-16-23,59.0
mba2011-02-16-26,59.0
mba2011-02-16-27,63.0
mba2011-02-16-28,59.0
mba2011-02-16-28,68.0
mba2011-02-16-29,65.0
mba2011-02-16-30,66.0
mba2011-02-16-32,75.0
mba2011-02-16-33,56.0
mba2011-02-16-34,54.0
mba2011-02-16-35,57.0
mba2011-02-16-37,70.0
mba2011-02-16-3,63.0
mba2011-02-16-40,59.0
mba2011-02-16-40,55.0
mba2011-02-16-42,44.0
mba2011-02-16-42,26.0
mba2011-02-16-46,64.0
mba2011-02-16-48,63.0
mba2011-02-16-52,59.0
mba2011-02-16-53,54.0
mba2011-02-16-55,46.0
mba2011-02-16-60,54.0
mba2011-02-16-64,56.0
mba2011-02-16-65,66.0
mba2011-02-16-67,60.0
mba2011-02-16-68,60.0
mba2011-02-16-71,59.0
mba2011-02-16-75,47.0
mba2011-02-16-79,43.0
mba2011-02-16-79,44.0
mba2011-02-16-88,69.0
mba2011-02-16-90,60.0
mba2011-02-16-95,63.0
