,label,git_commit_id,use_missing_value,seed,cv_score,k_score
0,Baseline,b12ad9a545ea41dd7d74cc372b01dbbc5ed199db,False,5,0.8881578947368421,0.562
1,Baseline,b12ad9a545ea41dd7d74cc372b01dbbc5ed199db,False,6,0.7482993197278912,0.583
2,Baseline,b12ad9a545ea41dd7d74cc372b01dbbc5ed199db,False,7,0.6849791376912379,0.575
3,Baseline,b12ad9a545ea41dd7d74cc372b01dbbc5ed199db,False,8,0.6627342123525329,0.463
4,Baseline,b12ad9a545ea41dd7d74cc372b01dbbc5ed199db,False,9,0.8581842279655401,0.419
5,Baseline,8c36aad8c45a6dc5f403e3e84ce608fe92a9b840,False,10,0.7133058984910837,0.506
6,Baseline,8c36aad8c45a6dc5f403e3e84ce608fe92a9b840,False,11,0.7133058984910837,0.624
7,Baseline,8c36aad8c45a6dc5f403e3e84ce608fe92a9b840,False,12,0.9230267449445532,
8,Baseline,8c36aad8c45a6dc5f403e3e84ce608fe92a9b840,False,13,0.9150326797385621,0.61
9,Baseline,8c36aad8c45a6dc5f403e3e84ce608fe92a9b840,False,14,0.7337883959044369,
10,Baseline,8c36aad8c45a6dc5f403e3e84ce608fe92a9b840,False,15,0.6837016574585635,
11,Baseline,68bfaff04cf2bd00704ba6a86e5e362b03cab9b6,False,16,0.7191780821917808,
12,Baseline,68bfaff04cf2bd00704ba6a86e5e362b03cab9b6,False,17,0.8718626155878467,
13,Baseline,68bfaff04cf2bd00704ba6a86e5e362b03cab9b6,False,18,0.6866804692891649,
14,Baseline,68bfaff04cf2bd00704ba6a86e5e362b03cab9b6,False,19,0.7279562542720438,
15,Baseline,68bfaff04cf2bd00704ba6a86e5e362b03cab9b6,False,20,0.0,
16,Baseline,68bfaff04cf2bd00704ba6a86e5e362b03cab9b6,False,21,0.7308743169398907,
