,index,n_ensemble,concentration,extra_data,trust_neg,trust_extra,negative_label_threshold,remove_suspect_positive_labels,include_multi_motor,target_voxel_spacing,blur_xy,blur_z,scale_moving_std,scale_moving_average_size,scale_moving_std_size_fac,blur_xy_moving_std,clip_value,scale_percentile_value,img_size,min_img_size_factor,box_size,rgb_offset,pad_with_noise,n_epochs,use_best_epoch,lr0,cos_lr,lrf,dropout,weight_decay,momentum,warmup_epochs,box,model_name,use_pretrained_weights,mosaic_mode,translate,scale,mixup,erasing,hsv_h,hsv_s,hsv_v,fliplr,flipud,degrees,absolute_threshold,relative_confidence_threshold,distance_threshold,z_range,adjust_voxel_scale,adjust_clip_value,adjust_blur_xy,adjust_blur_z,seed,local_mode,lr0_times_nepochs,label,git_commit_id,use_missing_value,cv_score,cv_score_tom,cv_score_other,k_score
0,0,1,1,True,2,2,0.6134893356881935,False,False,19.626540478400546,43.69133365916583,0.0,True,2956,2.043624991465423,0.0,3.4350724237877683,3.6317071082430643,640,0.0013692500850740474,20,100.0,False,36,False,0.0007417580158480781,True,0.07297580969447269,0.05414612202490918,0.00017982713432243086,0.9196806166359298,4,1.1132786845818519,yolov8m,False,1.0,0.0,0.5011873244080891,0.7177516092594001,0.24615404459250156,0.0,0.0,0.0,0.5,0.5,10.0,False,0.13836775542618834,10.0,3,1.192334135510492,1.1742167937922778,1.2601837105071265,0.0,0,False,0.026703288570530812,Baseline,68b1c7214d536ecb415f76e7165988c5848441c4,False,0.8296751536435469,0.8944954128440367,0.9539052496798975,
1,5,1,1,True,1,2,0.6475231848162968,False,True,18.62366290402097,36.34989673458863,0.0,True,1885,2.0495936876730596,0.0,2.5275591132430684,3.507026217349613,608,0.2690716566096391,27,15.0,True,22,False,0.0009580742233709002,True,0.013615754030325052,0.040311298644712924,0.00012207314440568977,0.9148694002132555,3,4.00145869052021,yolov8m,False,1.0,0.0,0.4455572923294905,0.984589759840991,0.38466287746551475,0.0,0.0,0.0,0.5,0.5,10.0,False,0.17247899407735337,10.0,4,0.9107564816181484,0.9642608035100507,1.387970165286453,0.0,1,False,0.021077632914159802,Baseline,68b1c7214d536ecb415f76e7165988c5848441c4,False,0.8333333333333334,0.9276018099547512,0.9330759330759331,
2,9,1,1,True,2,1,0.6149245571707062,True,False,19.20020105193131,40.92840790217692,0.0,False,2820,1.774969367906038,0.0,3.1574330148755925,3.1245313255608558,576,0.07503113165266806,25,30.0,True,39,False,0.001130508311714464,True,0.09277606586894965,0.06830648223096253,0.00023497489984801567,0.912617577091603,3,2.3838426622869324,yolov8l,False,1.0,0.0,0.5673628228501737,0.8204511539781516,0.12725864024614975,0.0,0.0,0.0,0.5,0.5,10.0,False,0.19242168965068243,10.0,5,1.077503536880892,0.9428829233814352,1.0418174233731765,0.0,2,False,0.0440898241568641,Baseline,68b1c7214d536ecb415f76e7165988c5848441c4,False,0.8369851007887817,0.9090909090909091,0.9435173299101413,
3,10,1,1,True,2,1,0.6118405253298049,True,True,18.188257284480798,36.49690410354711,0.0,False,1897,2.2345771514092148,0.0,2.6136720199214034,2.782456380991324,576,0.25837009131068184,20,30.0,True,23,False,0.0015223233258940076,True,0.019239827048877417,0.06485472070798251,0.00041772959800209325,0.9157816224703746,4,1.0059603340353447,yolov8m,False,1.0,0.0,0.3895203669050627,0.45118880162746944,0.3566844281780629,0.0,0.0,0.0,0.5,0.5,10.0,False,0.1585162939890908,10.0,6,1.1093108038595265,0.9121384030649885,1.2827860382622494,0.0,3,False,0.03501343649556218,Baseline,68b1c7214d536ecb415f76e7165988c5848441c4,False,0.8296751536435469,0.9090909090909091,0.9435173299101413,
4,1,1,1,True,1,2,0.6301920923503165,False,False,19.057518051240105,32.86554420121183,0.0,False,1892,2.0516717767312143,0.0,3.3637220757083885,3.6107444418118435,640,0.12418633160306941,26,1.0,True,23,False,0.0008168703486135278,True,0.015992384920876776,0.06250646854524543,0.0003915625895172335,0.933964225862454,4,4.899055122828668,yolov8l,False,1.0,0.0,0.5097267826110314,0.5577931575128166,0.007005283641841809,0.0,0.0,0.0,0.5,0.5,10.0,False,0.1291024905594143,10.0,3,0.9284111648554806,1.2770178672046293,1.2810667890140504,0.0,1000,False,0.01878801801811114,Baseline,68b1c7214d536ecb415f76e7165988c5848441c4,False,0.8442694663167104,0.8944954128440367,0.9435173299101413,
5,2,1,1,True,2,2,0.6007850233910166,False,True,18.15239726853563,33.01635366668136,0.0,True,1644,1.6522044045102997,0.0,2.680245007412709,2.2638567760359836,576,0.49205848979947786,21,60.0,False,22,False,0.0007663604679606228,True,0.02293429801689438,0.09131252947846392,3.7660020916111754e-05,0.9130355745883488,3,2.0642281385877213,yolov8l,False,1.0,0.0,0.5351723029741993,0.28681932360702844,0.3556960372870548,0.0,0.0,0.0,0.5,0.5,10.0,False,0.13800383284878942,10.0,6,0.8283805940826625,1.0482600277394316,1.3911147355810345,0.0,1001,False,0.0168599302951337,Baseline,68b1c7214d536ecb415f76e7165988c5848441c4,False,0.7968476357267951,0.8636363636363636,0.9278350515463918,
6,3,1,1,True,2,1,0.6178594668835473,True,False,18.674262373599074,38.32341794294436,0.0,False,2777,2.3403498245850005,0.0,2.902700057465303,3.857702905996524,576,0.1739566008533574,28,15.0,True,29,False,0.0006498727588160577,True,0.010065272814979778,0.08171100875574389,8.64691339555118e-05,0.9116320199708181,3,2.009025790132464,yolov8m,False,1.0,0.0,0.3998135373707097,0.2174704227303691,0.02998328445069949,0.0,0.0,0.0,0.5,0.5,10.0,False,0.1594441641667337,10.0,6,0.8944041922557476,0.9534942460986421,1.0846055263163432,0.0,1002,False,0.018846310005665674,Baseline,68b1c7214d536ecb415f76e7165988c5848441c4,False,0.8479020979020979,0.9216589861751152,0.959079283887468,
7,4,1,1,True,1,1,0.6128352905109411,False,True,19.504225723352153,40.84646802209515,0.0,False,2448,2.4705771125120726,0.0,3.2067041404667087,2.4340694709313446,608,0.07035015469754968,22,45.0,True,40,False,0.0007013006335827318,True,0.0343228585554476,0.05280202273126233,0.0004978922126042049,0.910281325937217,3,4.8804540367206375,yolov8l,False,1.0,0.0,0.3254965171158424,0.870007619001891,0.19096466631338244,0.0,0.0,0.0,0.5,0.5,10.0,False,0.17164335060813415,10.0,5,0.8540163285126321,1.2598833336446942,1.0636223538934968,0.0,1003,False,0.02805202534330927,Baseline,68b1c7214d536ecb415f76e7165988c5848441c4,False,0.8369851007887817,0.9318181818181818,0.9435173299101413,
8,6,1,1,True,1,2,0.6328212304646443,False,True,19.294336951548573,34.0357587435618,0.0,True,2851,2.0352649896337294,0.0,2.5620280024573807,2.2107668011768764,608,0.2715968239660158,28,1.0,True,26,False,0.0008849094633152682,True,0.02327965737017215,0.006369904025155793,7.054771652901685e-05,0.93033462238693,2,2.9708644962043484,yolov8l,False,1.0,0.0,0.5604061143661467,0.756292894474367,0.22840128098568432,0.0,0.0,0.0,0.5,0.5,10.0,False,0.14557430076548566,10.0,4,0.9973237054582392,0.9604780112570376,1.2284099353581146,0.0,2000,False,0.023007646046196973,Baseline,68b1c7214d536ecb415f76e7165988c5848441c4,False,0.8551483420593369,0.91324200913242,0.9539052496798975,
9,7,1,1,True,1,1,0.6101862257139593,False,True,18.863957880217576,35.06080500676635,0.0,True,1679,1.7201049633870973,0.0,3.098949588780438,3.9780551470405676,640,0.225770494846479,23,0.0,True,22,False,0.0007877983459403216,True,0.029721591106525138,0.07322624757627347,0.0005052429223584707,0.9237078820401823,2,2.6092728130781535,yolov8m,False,1.0,0.0,0.5544602140744008,0.40351874986506736,0.23541510343145228,0.0,0.0,0.0,0.5,0.5,10.0,False,0.18657619825545704,10.0,6,0.8800848411786911,0.9621670044547546,1.2848774050730647,0.0,2001,False,0.017331563610687075,Baseline,68b1c7214d536ecb415f76e7165988c5848441c4,False,0.8479020979020979,0.8944954128440367,0.9539052496798975,
10,8,1,1,True,2,2,0.6480355613765288,True,False,19.385044025074556,32.28183721230715,0.0,False,2265,2.3964392558901895,0.0,2.854932699722855,3.867365760675781,576,0.01829659875010181,22,0.0,False,40,False,0.0006955984075772799,True,0.02852026587952475,0.061438542173183036,7.940866641495991e-05,0.9097318779318055,5,1.7662537502253932,yolov8l,False,1.0,0.0,0.5868969782858314,0.30913960094508497,0.3606852619160476,0.0,0.0,0.0,0.5,0.5,10.0,False,0.12474868104847903,10.0,6,1.028037473000963,1.1292765367076822,1.2176773860160808,0.0,2002,False,0.0278239363030912,Baseline,68b1c7214d536ecb415f76e7165988c5848441c4,False,0.8333333333333334,0.8837209302325582,0.9642401021711366,
